,Technique and metric Name,supports,contradicts,parts_of_same,
49,weighted_avg - ------------TAG ADJ---------------,0.787516856098501,0.5984393757503,0.617867738195963,
50,weighted_avg - ------------TAG ADP---------------,0.78068474616515,0.6525,0.665564413232692,
51,weighted_avg - ------------TAG ADV---------------,0.753119028194234,0.597482014388489,0.6128000714611,
52,weighted_avg - ------------TAG AUX---------------,0.763136634718016,0.597371565113501,0.61696163493751,
53,weighted_avg - ------------TAG CONJ---------------,0.778168234600273,0.620875420875421,0.638321004933378,
54,weighted_avg - ------------TAG DET---------------,0.741603496147731,0.592666666666667,0.610805036406644,
55,weighted_avg - ------------TAG NOUN---------------,0.769908283212539,0.49470549305096,0.526962072799522,
56,weighted_avg - ------------TAG NUM---------------,0.741024566428191,0.529950669485553,0.556746310506382,
57,weighted_avg - ------------TAG PART---------------,0.778463957302939,0.624731182795699,0.640955985633277,
58,weighted_avg - ------------TAG PRON---------------,0.748097175003919,0.603174603174603,0.619566305875241,
59,weighted_avg - ------------TAG PROPN---------------,0.793342046172898,0.618637431480031,0.639627794152763,
60,weighted_avg - ------------TAG PUNCT---------------,0.77244540645406,0.626362397820163,0.646015080381564,
61,weighted_avg - ------------TAG SCONJ---------------,0.771051540489888,0.645610278372591,0.664291616453462,
62,weighted_avg - ------------TAG VERB---------------,0.796182067133462,0.597070844686648,0.61909436212524,
